adduct name	mz rect	mz	area	charge	mass	area%	area total mz %	delta	norm area %
new	"{""rt_min"": 847.56, ""rt_max"": 916.5, ""mz_min"": 2712.9505469608803, ""mz_max"": 2716.6123208206277}"	2714.28	108059144.3	5	13576.4	13.65	33.66	0.0	36.33
new	"{""rt_min"": 849.6, ""rt_max"": 885.54, ""mz_min"": 2708.567268044427, ""mz_max"": 2710.617812616263}"	2709.46	9306851.6	5	13552.3	1.18	4.47	-24.1	4.83
new	"{""rt_min"": 847.56, ""rt_max"": 902.52, ""mz_min"": 2717.6290160978183, ""mz_max"": 2720.6377048660634}"	2718.88	33516448.0	5	13599.4	4.23	10.32	23.0	11.14
new	"{""rt_min"": 847.56, ""rt_max"": 900.54, ""mz_min"": 2720.2450674947736, ""mz_max"": 2724.439886383007}"	2722.02	31244769.8	5	13615.1	3.95	9.78	38.7	10.56
new	"{""rt_min"": 847.56, ""rt_max"": 900.54, ""mz_min"": 2724.868240347517, ""mz_max"": 2728.4867532692456}"	2726.5	33710148.8	5	13637.5	4.26	6.32	61.1	6.82
new	"{""rt_min"": 848.58, ""rt_max"": 901.5, ""mz_min"": 2728.533567168918, ""mz_max"": 2732.6837909632695}"	2730.33	38481390.9	5	13656.65	4.86	7.49	80.25	8.09
new	"{""rt_min"": 848.58, ""rt_max"": 897.54, ""mz_min"": 2732.748190578683, ""mz_max"": 2736.9328904344907}"	2734.53	28898301.5	5	13677.65	3.65	5.35	101.25	5.78
new	"{""rt_min"": 848.58, ""rt_max"": 890.52, ""mz_min"": 2736.5472590024087, ""mz_max"": 2739.9575571663345}"	2738.18	21643844.1	5	13695.9	2.73	4.07	119.5	4.39
new	"{""rt_min"": 848.58, ""rt_max"": 892.5, ""mz_min"": 2740.783855722691, ""mz_max"": 2744.385047310561}"	2742.3	19262193.5	5	13716.5	2.43	3.4	140.1	3.67
new	"{""rt_min"": 849.6, ""rt_max"": 890.52, ""mz_min"": 2744.389718371265, ""mz_max"": 2748.6063299807993}"	2746.28	17650741.4	5	13736.4	2.23	2.95	160.0	3.18
new	"{""rt_min"": 849.6, ""rt_max"": 886.56, ""mz_min"": 2748.421836320578, ""mz_max"": 2752.221572435615}"	2750.14	12503241.9	5	13755.7	1.58	2.04	179.3	2.2
new	"{""rt_min"": 850.5600000000001, ""rt_max"": 883.5600000000001, ""mz_min"": 2752.856770564608, ""mz_max"": 2756.4473155536703}"	2754.11	7848252.0	5	13775.55	0.99	1.15	199.15	1.24
new	"{""rt_min"": 850.5600000000001, ""rt_max"": 881.52, ""mz_min"": 2756.3629107359247, ""mz_max"": 2758.9676270223317}"	2757.69	5621245.4	5	13793.45	0.71	0.72	217.05	0.78
new	"{""rt_min"": 851.5799999999999, ""rt_max"": 876.54, ""mz_min"": 2760.629257309417, ""mz_max"": 2762.6161082326653}"	2761.62	2994704.5	5	13813.1	0.38	0.44	236.7	0.47
new	"{""rt_min"": 853.5600000000001, ""rt_max"": 872.52, ""mz_min"": 2764.820284092318, ""mz_max"": 2765.8380074549927}"	2765.42	845584.0	5	13832.1	0.11	0.11	255.7	0.12
